line_id,value_date,narration,amount,balance,bank_ref,currency
bank_002356,23-Jul-2026,MMT/IMPS/ICICR68037991177/Settlement/RAZORPAY/835186456,4404.96,40230293.06,ICICI9668948,INR
bank_003470,14-Jul-2026,MMT/IMPS/ICICR67833219338/Settlement/RAZORPAY/607067500,784.28,54125157.78,ICICI6718368,INR
bank_000091,16-Jul-2026,MMT/IMPS/ICICR09575074,673500.79,2744218.58,ICICI9596495,INR
bank_005313,09/07/2026,CMS NEFT-HDFCN14992824110-RAZORPAY SOFTWARE PRIVATE LIMITED-986250679 BAL 94595755 09072026,"11,498.09","8,55,17,051.85",HDFC8234650,INR
bank_005264,16-07-2026,TRANSFER FROM SBINR14936171027 RAZORPAY SOFT PVT LTD REF 908727234,95733.81,85318849.19,SBI7334734,INR
bank_000097,24-Jul-2026,CMS MMT/IMPS/ICICR85872601135/Settlement/RAZORPAY/709504354 BAL 76857133 24072026,6681.00,2750899.58,ICICI8484219,INR
bank_003125,30-07-2026,NEFT RETURN RVSL1773015261 BENEFICIARY ACCOUNT CLOSED,-196306.54,50036617.70,SBI8372440,INR
bank_007812,2026-07-28,BY TRANSFER-NEFT*AXIS0002297*AXISP00267095626*RAZORPAY SOFTWARE,"78,975.00","11,93,23,077.68",AXIS4975373,INR
bank_001304,10-07-2026,ACH C- TRANSFER FROM SBINR18871540774 RAZORPAY SOFT PVT LTD REF 774784751 BAL 83691021 10072026,30522.00,22257273.56,SBI6338303,INR
bank_002062,17-07-2026,TRANSFER FROM SBINR88531729690 RAZORPAY SOFT PVT LTD REF 583382411,111529.56,35409710.50,SBI2765879,INR
bank_004090,2026-07-29,NEFT INWARD RAZORPAY SOFTWARE PRIVATE LIMITED,"5,540.09","6,74,81,937.44",AXIS7409839,INR
bank_003407,04-08-2026,TRANSFER FROM SBINR12544247508 RAZORPAY SOFT PVT LTD REF 210863457,43150.05,53350708.52,SBI9932748,INR
bank_007139,2026-07-24,BY TRANSFER-NEFT*AXIS0007856*AXISP49991141095*RAZORPAY SOFTWARE,233.00,"10,99,59,923.14",AXIS9517425,INR
bank_003660,24-Jul-2026,BY TRF MMT/IMPS/ICICR59950624403/Settlement/RAZORPAY/964917099 BAL 25133251 24072026,869433.00,59467905.81,ICICI9073451,INR
bank_007631,24/07/2026,NEFT-HDFCN35953313661-RAZORPAY SOFTWARE PRIVATE LIMITED-607216182,"46,114.00","11,55,02,524.18",HDFC1337202,INR
bank_001716,27-07-2026,TRANSFER FROM SBINR92551801216 RAZORPAY SOFT PVT LTD REF 592034542,5840.82,29683607.35,SBI6308075,INR
