adjustment_id,kind,amount,created_at,settlement_id,linked_payment_id
adj_003323,chargeback,-3812.00,2026-07-14T08:00:00+05:30,setl_003324,pay_003319
adj_005560,chargeback,-26152.17,2026-07-13T08:00:00+05:30,,pay_000057_prior
adj_002239,chargeback,-23514.05,2026-07-09T08:00:00+05:30,setl_002240,pay_002235
adj_001933,chargeback,-3757.00,2026-07-03T08:00:00+05:30,setl_001934,pay_001929
adj_000164,chargeback,-9034.00,2026-07-24T08:00:00+05:30,setl_000165,pay_000160
adj_006093,chargeback,-6964.79,2026-07-27T08:00:00+05:30,setl_006094,pay_006089
adj_005171,chargeback,-10998.68,2026-07-10T08:00:00+05:30,,pay_000029_prior
adj_000955,chargeback,-42807.18,2026-07-07T08:00:00+05:30,,pay_000431_prior
adj_007328,chargeback,-89441.71,2026-07-22T08:00:00+05:30,setl_007329,pay_007324
adj_003885,chargeback,-1655.00,2026-07-28T08:00:00+05:30,setl_003886,pay_003881
adj_000928,chargeback,-199085.84,2026-07-20T08:00:00+05:30,setl_000929,pay_000924
adj_004005,chargeback,-4757.00,2026-07-17T08:00:00+05:30,setl_004006,pay_004001
adj_003348,chargeback,-42071.50,2026-07-03T08:00:00+05:30,setl_003349,pay_003344
adj_004454,chargeback,-84787.00,2026-07-27T08:00:00+05:30,setl_004455,pay_004450
adj_000342,chargeback,-1686.00,2026-07-21T08:00:00+05:30,setl_000343,pay_000338
adj_006800,chargeback,-29494.61,2026-07-10T08:00:00+05:30,,pay_000824_prior
adj_000963,chargeback,-30695.88,2026-07-31T08:00:00+05:30,,pay_000891_prior
adj_006520,chargeback,-4622.00,2026-07-10T08:00:00+05:30,setl_006521,pay_006516
adj_001517,chargeback,-4958.00,2026-08-03T08:00:00+05:30,setl_001518,pay_001513
adj_001251,chargeback,-1381.00,2026-07-28T08:00:00+05:30,setl_001252,pay_001247
adj_002441,chargeback,-59158.86,2026-07-29T08:00:00+05:30,,pay_000815_prior
adj_006663,chargeback,-27409.96,2026-07-07T08:00:00+05:30,,pay_000083_prior
adj_000746,chargeback,-751.00,2026-07-29T08:00:00+05:30,setl_000747,pay_000742
