payment_id,order_id,gross_amount,fee,tax,net_amount,captured_at,method,currency,settlement_id,international,source_currency,fx_rate
pay_005512,ord_005513,862.00,16.38,2.95,842.67,2026-07-08T22:48:00+05:30,netbanking,INR,setl_005514,false,,
pay_001884,ord_001885,7834.00,156.68,28.20,7649.12,2026-07-04T18:48:00+05:30,credit_card,INR,setl_001886,false,,
pay_004831,ord_004832,79630.00,0.00,0.00,79630.00,2026-07-20T17:27:00+05:30,upi,INR,setl_004835,false,,
pay_003814,ord_003815,487920.00,0.00,0.00,487920.00,2026-07-07T07:43:00+05:30,rupay_debit,INR,setl_003819,false,,
pay_004452,ord_004453,269.00,0.00,0.00,269.00,2026-07-23T18:49:00+05:30,upi,INR,setl_004455,false,,
pay_000669,ord_000670,2240.00,42.56,7.66,2189.78,2026-07-29T14:29:00+05:30,netbanking,INR,setl_000673,false,,
pay_004733,ord_004734,895.00,0.00,0.00,895.00,2026-07-08T07:38:00+05:30,upi,INR,setl_004736,false,,
pay_003454,ord_003455,986.00,0.00,0.00,986.00,2026-07-07T08:11:00+05:30,rupay_debit,INR,setl_003456,false,,
pay_000121,ord_000122,747.00,14.19,2.55,730.26,2026-07-12T12:38:00+05:30,netbanking,INR,setl_000125,false,,
pay_003748,ord_003749,3776.00,33.98,6.12,3735.90,2026-07-03T21:19:00+05:30,debit_card,INR,setl_003750,false,,
pay_002474,ord_002475,734.00,18.35,3.30,712.35,2026-07-28T22:30:00+05:30,emi,INR,setl_002477,false,,
pay_001039,ord_001040,8403.00,168.06,30.25,8204.69,2026-07-20T09:56:00+05:30,wallet,INR,setl_001041,false,,
pay_001270,ord_001271,284.00,0.00,0.00,284.00,2026-07-13T12:14:00+05:30,upi,INR,setl_001272,false,,
pay_001604,ord_001605,544686.00,4902.17,882.39,538901.44,2026-07-07T20:46:00+05:30,debit_card,INR,setl_001608,false,,
pay_005495,ord_005496,3282.00,0.00,0.00,3282.00,2026-07-29T23:45:00Z,upi,INR,setl_005497,false,,
pay_006255,ord_006256,4765.00,142.95,25.73,4596.32,2026-07-09T09:00:00+05:30,international,INR,setl_006257,true,USD,85.7887
pay_001294,ord_001295,601.00,0.00,0.00,601.00,2026-07-03T11:36:00+05:30,upi,INR,setl_001296,false,,
pay_000418,ord_000419,1088.00,21.76,3.92,1062.32,2026-07-17T13:49:00+05:30,credit_card,INR,setl_000420,false,,
pay_005530,ord_005531,496550.00,0.00,0.00,496550.00,2026-07-17T09:15:00+05:30,upi,INR,setl_005537,false,,
pay_001808,ord_001809,508.00,9.65,1.74,496.61,2026-07-15T12:31:00+05:30,netbanking,INR,setl_001810,false,,
pay_002706,ord_002707,190.00,3.61,0.65,185.74,2026-07-22T21:42:00+05:30,netbanking,INR,setl_002710,false,,
pay_006124,ord_006125,98928.00,0.00,0.00,98928.00,2026-07-30T21:30:00+05:30,upi,INR,setl_006130,false,,
pay_004912,ord_004913,936.00,0.00,0.00,936.00,2026-07-01T12:58:00+05:30,upi,INR,setl_004914,false,,
pay_004512,ord_004513,5115.00,0.00,0.00,5115.00,2026-07-05T10:10:00+05:30,upi,INR,setl_004514,false,,
pay_001347,ord_001348,53625.00,0.00,0.00,53625.00,2026-07-24T20:54:00+05:30,upi,INR,setl_001354,false,,
pay_007700,ord_007701,5033.00,0.00,0.00,5033.00,2026-07-23T08:00:00+05:30,upi,INR,setl_007702,false,,
pay_006766,ord_006767,2308.00,43.85,7.89,2256.26,2026-07-30T08:14:00+05:30,netbanking,INR,setl_006770,false,,
pay_001048,ord_001049,514.00,10.28,1.85,501.87,2026-07-10T21:03:00+05:30,credit_card,INR,setl_001050,false,,
pay_003971,ord_003972,3387.00,0.00,0.00,3387.00,2026-07-26T07:27:00+05:30,upi,INR,setl_003973,false,,
pay_000654,ord_000655,704.00,2.82,0.51,700.67,2026-07-29T22:41:00+05:30,debit_card,INR,setl_000656,false,,
pay_001675,ord_001676,113735.46,2274.71,409.45,111051.30,2026-07-01T08:52:00+05:30,credit_card,INR,setl_001679,false,,
pay_000111,ord_000112,821.00,0.00,0.00,821.00,2026-07-02T13:29:00+05:30,upi,INR,setl_000113,false,,
pay_007814,ord_007815,71989.55,0.00,0.00,71989.55,2026-07-15T19:28:00+05:30,upi,INR,setl_007818,false,,
pay_003027,ord_003028,470.00,9.40,1.69,458.91,2026-07-31T21:25:00+05:30,credit_card,INR,setl_003029,false,,
pay_006008,ord_006009,2556.00,0.00,0.00,2556.00,2026-07-17T17:33:00+05:30,upi,INR,setl_006010,false,,
pay_004018,ord_004019,67205.00,604.85,108.87,66491.28,2026-07-28T08:27:00+05:30,debit_card,INR,setl_004024,false,,
pay_003525,ord_003526,74886.00,1422.83,256.11,73207.06,2026-07-30T11:27:00+05:30,netbanking,INR,setl_003527,false,,
pay_000972,ord_000973,9660.00,241.50,43.47,9375.03,2026-07-01T16:28:00+05:30,emi,INR,setl_000974,false,,
pay_006629,ord_006630,694.00,13.88,2.50,677.62,2026-07-27T18:22:00+05:30,credit_card,INR,setl_006631,false,,
pay_000765,ord_000766,5074.00,45.67,8.22,5020.11,2026-07-01T11:27:00+05:30,debit_card,INR,setl_000767,false,,
pay_005524,ord_005525,301.00,6.02,1.08,293.90,2026-07-27T17:42:00+05:30,credit_card,INR,setl_005526,false,,
pay_007125,ord_007126,962.00,3.85,0.69,957.46,2026-07-18T15:21:00+05:30,debit_card,INR,setl_007129,false,,
pay_002731,ord_002732,5858.00,111.30,20.03,5726.67,2026-07-25T08:49:00+05:30,netbanking,INR,setl_002733,false,,
pay_004020,ord_004021,108.00,2.05,0.37,105.58,2026-07-28T16:11:00+05:30,netbanking,INR,setl_004024,false,,
pay_006853,ord_006854,296716.00,7417.90,1335.22,287962.88,2026-07-01T14:24:00+05:30,amex,INR,setl_006859,false,,
pay_007114,ord_007115,61742.00,555.68,100.02,61086.30,2026-07-24T09:47:00+05:30,debit_card,INR,setl_007118,false,,
pay_004536,ord_004537,787105.00,0.00,0.00,787105.00,2026-07-18T14:23:00+05:30,upi,INR,setl_004538,false,,
pay_005851,ord_005852,952.00,19.04,3.43,929.53,2026-07-16T10:17:00+05:30,wallet,INR,setl_005853,false,,
pay_007226,ord_007227,766104.00,0.00,0.00,766104.00,2026-07-20T15:08:00+05:30,upi,INR,setl_007231,false,,
pay_002727,ord_002728,553145.00,11062.90,1991.32,540090.78,2026-07-25T19:33:00+05:30,credit_card,INR,setl_002729,false,,
pay_003288,ord_003289,747.00,0.00,0.00,747.00,2026-07-14T15:57:00+05:30,upi,INR,setl_003290,false,,
pay_002015,ord_002016,384046.00,3456.41,622.15,379967.44,2026-07-06T17:56:00+05:30,debit_card,INR,setl_002017,false,,
pay_000757,ord_000758,906653.00,0.00,0.00,906653.00,2026-07-01T07:14:00+05:30,upi,INR,setl_000759,false,,
pay_005740,ord_005741,22687.00,453.74,81.67,22151.59,2026-07-16T11:53:00+05:30,credit_card,INR,setl_005745,false,,
pay_006205,ord_006206,701.00,0.00,0.00,701.00,2026-07-06T22:04:00+05:30,upi,INR,setl_006207,false,,
pay_006617,ord_006618,3871.00,116.13,20.90,3733.97,2026-07-27T19:40:00+05:30,international,INR,setl_006619,true,USD,82.1738
pay_002406,ord_002407,9024.00,0.00,0.00,9024.00,2026-07-07T15:30:00+05:30,upi,INR,setl_002412,false,,
pay_001026,ord_001027,8954.00,179.08,32.23,8742.69,2026-07-22T10:32:00+05:30,credit_card,INR,setl_001030,false,,
pay_000257,ord_000258,605.00,2.42,0.44,602.14,2026-07-09T08:54:00+05:30,debit_card,INR,setl_000259,false,,
pay_006089,ord_006090,9546.00,190.92,34.37,9320.71,2026-07-23T15:49:00+05:30,credit_card,INR,setl_006094,false,,
pay_000137,ord_000138,73866.00,0.00,0.00,73866.00,2026-07-10T07:45:00+05:30,upi,INR,setl_000139,false,,
pay_003336,ord_003337,99681.00,1893.94,340.91,97446.15,2026-07-20T23:45:00Z,netbanking,INR,setl_003338,false,,
pay_005751,ord_005752,196713.00,0.00,0.00,196713.00,2026-07-22T10:06:00+05:30,upi,INR,setl_005753,false,,
pay_001551,ord_001552,9542.00,0.00,0.00,9542.00,2026-07-08T07:39:00+05:30,upi,INR,setl_001553,false,,
pay_007557,ord_007558,4164.00,79.12,14.24,4070.64,2026-07-13T16:01:00+05:30,netbanking,INR,setl_007559,false,,
pay_006735,ord_006736,80205.00,1523.90,274.30,78406.80,2026-07-19T12:38:00+05:30,netbanking,INR,setl_006737,false,,
pay_000479,ord_000480,214.00,0.86,0.15,212.99,2026-07-23T08:34:00+05:30,debit_card,INR,setl_000481,false,,
pay_006605,ord_006606,90552.00,814.97,146.69,89590.34,2026-07-09T20:05:00+05:30,debit_card,INR,setl_006607,false,,
pay_007102,ord_007103,733.00,18.33,3.30,711.37,2026-07-20T22:18:00+05:30,amex,INR,setl_007108,false,,
pay_000924,ord_000925,312745.00,0.00,0.00,312745.00,2026-07-16T19:44:00+05:30,upi,INR,setl_000929,false,,
pay_001596,ord_001597,64412.12,0.00,0.00,64412.12,2026-07-15T13:53:00+05:30,upi,INR,setl_001598,false,,
