refund_id,payment_id,amount,created_at,settlement_id
rfnd_005744,pay_005738,5126.00,2026-07-20T09:15:00+05:30,setl_005745
rfnd_002958,pay_002952,146016.18,2026-07-29T09:15:00+05:30,setl_002959
rfnd_007147,pay_007141,1799.00,2026-07-15T09:15:00+05:30,setl_007148
rfnd_007160,pay_007154,1721.73,2026-07-09T09:15:00+05:30,setl_007161
rfnd_002476,pay_002470,121030.78,2026-07-30T09:15:00+05:30,setl_002477
rfnd_001530,pay_001524,1487.00,2026-07-16T09:15:00+05:30,setl_001531
rfnd_003930,pay_003924,731.00,2026-07-09T09:15:00+05:30,setl_003931
rfnd_002819,pay_002813,658.00,2026-07-30T09:15:00+05:30,setl_002820
rfnd_006431,pay_006425,110472.00,2026-07-27T09:15:00+05:30,setl_006432
rfnd_004710,pay_000533_prior,9092.73,2026-07-27T10:00:00+05:30,
rfnd_001450,pay_001444,5338.00,2026-07-20T09:15:00+05:30,setl_001451
rfnd_003310,pay_003304,6225.00,2026-07-29T09:15:00+05:30,setl_003311
rfnd_003818,pay_003812,10046.00,2026-07-09T09:15:00+05:30,setl_003819
rfnd_003492,pay_000835_prior,32968.87,2026-07-01T10:00:00+05:30,
rfnd_006240,pay_006234,574103.33,2026-07-21T09:15:00+05:30,setl_006241
rfnd_002070,pay_002064,9622.00,2026-07-27T09:15:00+05:30,setl_002071
rfnd_006166,pay_006160,461140.44,2026-07-10T09:15:00+05:30,setl_006167
rfnd_005077,pay_005071,254.00,2026-07-03T09:15:00+05:30,setl_005078
rfnd_001821,pay_001815,536.00,2026-07-08T09:15:00+05:30,setl_001822
rfnd_007603,pay_007597,1757.00,2026-07-23T09:15:00+05:30,setl_007604
rfnd_002895,pay_002889,600325.97,2026-07-03T09:15:00+05:30,setl_002896
rfnd_000888,pay_000882,459422.37,2026-07-16T09:15:00+05:30,setl_000889
rfnd_007714,pay_007708,964.00,2026-07-29T09:15:00+05:30,setl_007715
rfnd_001463,pay_001457,228676.74,2026-07-06T09:15:00+05:30,setl_001464
rfnd_005064,pay_005058,4449.00,2026-07-22T09:15:00+05:30,setl_005065
rfnd_002787,pay_000079_prior,9487.86,2026-07-20T10:00:00+05:30,
rfnd_002774,pay_002768,150.00,2026-07-28T09:15:00+05:30,setl_002775
rfnd_004774,pay_004768,83589.00,2026-07-08T09:15:00+05:30,setl_004775
rfnd_000607,pay_000601,41698.65,2026-07-06T09:15:00+05:30,setl_000608
rfnd_007230,pay_007224,146.00,2026-07-22T09:15:00+05:30,setl_007231
rfnd_007867,pay_000277_prior,19268.13,2026-07-02T10:00:00+05:30,
rfnd_006947,pay_006941,5865.00,2026-07-07T09:15:00+05:30,setl_006948
rfnd_005232,pay_005226,1940.00,2026-07-09T09:15:00+05:30,setl_005233
rfnd_001119,pay_001113,570487.22,2026-07-08T09:15:00+05:30,setl_001120
rfnd_004676,pay_004670,52814.11,2026-07-17T09:15:00+05:30,setl_004677
rfnd_004045,pay_004039,5193.00,2026-07-14T09:15:00+05:30,setl_004046
rfnd_005090,pay_005084,7950.00,2026-07-27T09:15:00+05:30,setl_005091
rfnd_005536,pay_005530,298798.18,2026-07-21T09:15:00+05:30,setl_005537
rfnd_007095,pay_007089,2628.00,2026-07-28T09:15:00+05:30,setl_007096
rfnd_001353,pay_001347,53625.00,2026-07-28T09:15:00+05:30,setl_001354
rfnd_004735,pay_004729,207611.67,2026-07-10T09:15:00+05:30,setl_004736
rfnd_001331,pay_001325,7159.00,2026-07-27T09:15:00+05:30,setl_001332
rfnd_007504,pay_007498,952.00,2026-07-14T09:15:00+05:30,setl_007505
rfnd_003097,pay_003091,1881.00,2026-07-27T09:15:00+05:30,setl_003098
